,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
310,רוזנפלד ,8,673,4.89,601,64,3,35,108,185
311,YANA SHOP ,5,158,4.89,153,5,6,7,18,35
312,א עקנין ,4,91,4.89,89,2,3,11,20,36
313,מרכז האלקטרוניקה והשעונים ,2,58,4.89,56,2,0,7,15,44
314,אי דיפו ,17,463,4.88,449,11,5,26,30,42
315,יחודי ,14,118,4.88,113,4,0,0,0,8
316,קליקשופ ,7,80,4.88,77,3,0,0,1,8
317,הבית שלך ,8,974,4.87,940,27,7,21,40,90
318,פרי דיו ,16,1204,4.86,1116,75,32,87,124,190
319,Zol4u זול פור יו ,19,712,4.86,570,133,1,5,13,28
320,פיסי אונליין ,10,681,4.86,619,60,10,20,31,64
321,שופיפט ,2,32,4.86,29,3,0,2,5,20
322,גלובל סלולר ,1,29,4.86,28,1,0,3,6,28
323,פלאטק ,7,826,4.85,799,24,2,18,32,65
324,דוקטור צ יפ ,12,513,4.85,480,30,2,19,28,95
325,Goodest ,3,233,4.85,230,3,5,15,31,58
326,OCTech ,2,131,4.85,128,3,7,9,22,59
327,וי מובייל ,14,1347,4.84,1174,158,0,7,11,29
328,דיירקט ישראליין ,12,690,4.84,631,57,6,14,25,42
329,TopMobile ,7,479,4.84,426,51,1,9,11,24
330,אלקטריק שופ ,4,255,4.84,247,7,3,16,22,36
331,קינג גיימס ,6,122,4.84,114,8,2,5,15,24
332,פוטו נגבה ,18,714,4.83,694,18,7,11,18,29
333,Buy Buy ,20,485,4.83,414,68,3,11,13,22
334,שפע ספוט ,18,445,4.83,428,13,0,0,0,6
335,טאצ סטור ,5,355,4.83,345,9,3,17,34,69
336,שופ אלקטרונז ,10,289,4.83,266,21,3,12,16,34
337,סיגנאל מעבדות ,12,166,4.83,161,5,1,3,14,23
338,מובייל אילת ,5,42,4.83,41,1,0,3,15,22
339,טכנו שלמה ,3,194,4.82,182,9,2,9,14,36
340,אופק פי סי ,18,152,4.82,126,24,5,10,14,21
341,פי סי סנטר ,20,1215,4.8100000000000005,1118,88,2,10,13,34
342,חשמל נטו ,17,868,4.8100000000000005,798,63,0,18,32,82
343,X Wear ,10,113,4.8100000000000005,79,34,0,0,2,20
344,גיים מובייל ,10,700,4.8,612,78,2,7,9,19
